tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0061715	movie	The Gnome-Mobile	The Gnome-Mobile	0	1967	\N	84	"Adventure,Family,Fantasy"	6.6	1992
tt0061722	movie	The Graduate	The Graduate	0	1967	\N	106	"Comedy,Drama,Romance"	8	254992
tt0061728	movie	The Restaurant	Le grand restaurant	0	1966	\N	85	"Action,Comedy"	6.8	5203
tt0061735	movie	Guess Who's Coming to Dinner	Guess Who's Coming to Dinner	0	1967	\N	108	"Comedy,Drama"	7.8	40072
tt0061736	movie	A Guide for the Married Man	A Guide for the Married Man	0	1967	\N	89	"Comedy,Romance"	6.7	2422
tt0061747	movie	Hang 'Em High	Hang 'Em High	0	1968	\N	114	"Drama,Western"	7	35629
tt0061749	movie	The Happiest Millionaire	The Happiest Millionaire	0	1967	\N	141	"Comedy,Family,Musical"	6.8	1803
tt0061752	movie	Even the Wind Is afraid	Hasta el viento tiene miedo	0	1968	\N	88	"Drama,Fantasy,Horror"	7.4	1381
tt0061758	movie	Hells Angels on Wheels	Hells Angels on Wheels	0	1967	\N	95	"Crime,Drama,Thriller"	5.2	2206
tt0061759	movie	The Hellcats	The Hellcats	0	1968	\N	90	Thriller	1.9	1549
tt0061765	movie	Hillbillys in a Haunted House	Hillbillys in a Haunted House	0	1967	\N	86	"Comedy,Family,Horror"	2.6	1055
tt0061770	movie	Hombre	Hombre	0	1967	\N	111	Western	7.4	11278
tt0061780	movie	The Honey Pot	The Honey Pot	0	1967	\N	150	"Comedy,Crime,Mystery"	6.9	2165
tt0061781	movie	The Firemen's Ball	"Horí, má panenko"	0	1967	\N	73	"Comedy,Drama"	7.5	9695
tt0061786	movie	Hotel	Hotel	0	1967	\N	124	Drama	6.6	1218
tt0061787	movie	Hour of the Gun	Hour of the Gun	0	1967	\N	100	Western	6.7	3542
tt0061789	movie	How I Won the War	How I Won the War	0	1967	\N	109	"Comedy,War"	5.7	2197
